cohort,chain,min_n,pseudo,d,n_ep,n_finite,n_pinned,sn,lo,hi
tcrvdb_true,A,20,0.1,3,2,2,0,111.81480490663249,75.23262005368183,166.1852343755562
tcrvdb_true,A,20,0.5,1,2,2,0,164.33806619283305,78.87240867588497,342.4137851676552
tcrvdb_true,A,20,0.5,2,2,2,0,227.0992311192905,121.31392818795386,425.1289323932228
tcrvdb_true,A,20,0.5,3,2,2,0,99.07926819412509,58.19872969166809,168.67552673213694
tcrvdb_true,A,20,1.0,1,2,2,0,82.70429251254131,39.87381488295708,171.54114849752088
tcrvdb_true,A,20,1.0,2,2,2,0,157.1993180183562,67.01154473465937,368.7666906245047
tcrvdb_true,A,20,1.0,3,2,2,0,87.17417439226467,44.89955075163118,169.2519536110702
tcrvdb_true,A,30,0.0,1,2,0,0,,,
tcrvdb_true,A,30,0.0,2,2,2,0,439.91931430198133,438.62831533668054,441.2141130181648
tcrvdb_true,A,30,0.0,3,2,2,0,115.64148370579431,80.96661090811747,165.16626549743307
tcrvdb_true,A,30,0.1,1,2,2,0,817.4050403563707,390.8655452800335,1709.41390989402
tcrvdb_true,A,30,0.1,2,2,2,0,366.1607257301782,298.5571738260709,449.0720331689551
tcrvdb_true,A,30,0.1,3,2,2,0,111.81480490663249,75.23262005368183,166.1852343755562
tcrvdb_true,A,30,0.5,1,2,2,0,164.33806619283305,78.87240867588497,342.4137851676552
tcrvdb_true,A,30,0.5,2,2,2,0,227.0992311192905,121.31392818795386,425.1289323932228
tcrvdb_true,A,30,0.5,3,2,2,0,99.07926819412509,58.19872969166809,168.67552673213694
tcrvdb_true,A,30,1.0,1,2,2,0,82.70429251254131,39.87381488295708,171.54114849752088
tcrvdb_true,A,30,1.0,2,2,2,0,157.1993180183562,67.01154473465937,368.7666906245047
tcrvdb_true,A,30,1.0,3,2,2,0,87.17417439226467,44.89955075163118,169.2519536110702
tcrvdb_true,A,50,0.0,1,2,0,0,,,
tcrvdb_true,A,50,0.0,2,2,2,0,439.91931430198133,438.62831533668054,441.2141130181648
tcrvdb_true,A,50,0.0,3,2,2,0,115.64148370579431,80.96661090811747,165.16626549743307
tcrvdb_true,A,50,0.1,1,2,2,0,817.4050403563707,390.8655452800335,1709.41390989402
tcrvdb_true,A,50,0.1,2,2,2,0,366.1607257301782,298.5571738260709,449.0720331689551
tcrvdb_true,A,50,0.1,3,2,2,0,111.81480490663249,75.23262005368183,166.1852343755562
tcrvdb_true,A,50,0.5,1,2,2,0,164.33806619283305,78.87240867588497,342.4137851676552
tcrvdb_true,A,50,0.5,2,2,2,0,227.0992311192905,121.31392818795386,425.1289323932228
tcrvdb_true,A,50,0.5,3,2,2,0,99.07926819412509,58.19872969166809,168.67552673213694
tcrvdb_true,A,50,1.0,1,2,2,0,82.70429251254131,39.87381488295708,171.54114849752088
tcrvdb_true,A,50,1.0,2,2,2,0,157.1993180183562,67.01154473465937,368.7666906245047
tcrvdb_true,A,50,1.0,3,2,2,0,87.17417439226467,44.89955075163118,169.2519536110702
tcrvdb_true,B,10,0.0,1,2,0,0,,,
tcrvdb_true,B,10,0.0,2,2,2,0,483.6113361503776,406.5425798689076,575.2901074435296
tcrvdb_true,B,10,0.0,3,2,2,0,479.54589418744104,182.10237424985047,1262.829579127364
tcrvdb_true,B,10,0.1,1,2,2,0,741.3507941588784,540.548588049035,1016.746712786055
tcrvdb_true,B,10,0.1,2,2,2,0,405.89995912320643,289.27379133113266,569.5461592219579
tcrvdb_true,B,10,0.1,3,2,2,0,437.28645124704735,151.82028378896214,1259.5118100954217
tcrvdb_true,B,10,0.5,1,2,2,0,149.08051515875582,108.88579933539698,204.11293424536618
tcrvdb_true,B,10,0.5,2,2,2,0,252.96206821451617,127.99613296453701,499.93547830929185
tcrvdb_true,B,10,0.5,3,2,2,0,326.890594887498,89.01654989600739,1200.4224062911603
tcrvdb_true,B,10,1.0,1,2,2,0,75.04665215717488,54.92811291601425,102.53401584378832
tcrvdb_true,B,10,1.0,2,2,2,0,174.37064589462275,73.50920610839461,413.62332365382076
tcrvdb_true,B,10,1.0,3,2,2,0,251.01343051743487,57.48694095356243,1096.0357475105232
tcrvdb_true,B,20,0.0,1,2,0,0,,,
